file_name,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_contrast_7,zero_crossing_rate,spectral_rolloff
104.wav,-371.2845,126.20471,-9.133109,32.97567,-35.965923,1.4410982,-23.135712,-12.213632,-25.081427,-7.6072426,-15.356986,-11.347281,1.0900475,-19.803278,6.0648975,0.45275214,0.41713244,0.33783546,0.31185317,0.2556717,0.24998277,0.2621404,0.28986406,0.28020883,0.33654255,0.38578877,0.38763484,25.598926480687823,16.806540328578897,19.62493539577401,17.732757909258105,18.128115884789445,19.408271697622602,64.86574909387929,0.07954068791946309,2879.885270291527
112.wav,-512.0947,113.63741,-9.489207,29.475536,-12.75684,11.779706,-23.538359,-12.637452,-14.8707,-4.512805,-1.3508607,-10.192687,-4.520203,-11.155927,-2.5319414,0.25340563,0.27823296,0.42783457,0.418044,0.4474884,0.46323633,0.4400207,0.48809713,0.40849105,0.34643602,0.3644744,0.33443192,21.80422369933566,15.411873641983286,18.05580123952065,16.137375540508817,17.510904814751687,16.352063880838582,61.233906094488276,0.08415736607142857,3443.58984375
193.wav,-420.92395,142.49428,-18.775805,14.959941,-19.070736,-7.631252,-9.937042,-3.3894777,-17.882967,-24.577225,-11.188141,4.0506654,-2.7007706,-8.076414,7.7640615,0.20228843,0.12682006,0.1653439,0.19904076,0.1785218,0.18689321,0.1196492,0.1244946,0.24047458,0.41896114,0.60844094,0.43978685,16.344437239438044,21.988116399003836,24.599529843115263,22.249835844848864,21.85192835014644,23.556372856958795,56.4601567619823,0.05914665670955882,2005.9128705193016
296.wav,-439.67303,107.33418,19.069551,33.3536,1.2253765,37.09635,-14.684704,15.982981,-16.148687,1.4107449,13.630228,-24.44443,7.395746,-7.402548,9.636707,0.2021293,0.17200506,0.1642537,0.19715382,0.20497827,0.35398006,0.48963842,0.4493993,0.4565235,0.45615628,0.40474692,0.3232425,18.458958405483077,15.479396445769344,17.585841802821985,16.173213264703488,21.882440205287324,25.518757893806903,63.55378226863697,0.19096790660511365,3929.9319180575285
310.wav,-461.2316,125.08761,-77.29186,64.2571,32.154816,-24.006855,0.0024219167,-14.969559,-19.354305,-2.289508,-8.886006,-0.025645064,7.2712073,-4.9689584,5.227937,0.37359852,0.368602,0.3455523,0.35203543,0.5821147,0.4829696,0.28453174,0.24918024,0.25329968,0.28766808,0.30563813,0.34796098,20.30192498089696,20.233993403185618,21.792796549278815,19.061440886820215,20.421425815690483,30.85107091568244,56.65171765611667,0.11588368517287234,3167.557087350399
320.wav,-165.22383,200.89212,-80.49124,-3.1731749,39.724815,-28.314867,-6.440479,2.0031152,-22.416367,4.8849792,4.589813,-11.548251,8.910213,2.3651664,-9.145715,0.30846533,0.2923218,0.28714973,0.28717902,0.33182728,0.4053551,0.36686835,0.39202654,0.4881539,0.40672654,0.4006342,0.37232947,15.940671565665333,15.380713071320633,20.288287482683955,18.41040893447747,20.508514909553774,38.44445336229374,50.446281042535766,0.0870583972091195,2111.608195754717
324.wav,-387.62656,131.5137,-28.295168,22.438921,5.416572,6.0942664,-29.258495,-18.623932,-6.260779,-5.3261056,-2.3325665,-10.207508,-3.7818456,-8.588489,-7.718035,0.2326828,0.277508,0.30041048,0.30708534,0.32668087,0.3987385,0.41094568,0.30495882,0.23081318,0.22579724,0.23664585,0.23515165,22.38977220645669,19.52259918173244,20.879234359145695,18.55089573639375,24.261104322814052,22.75959327491034,59.2350300491526,0.06932198660714285,2270.035400390625
361.wav,-486.25186,144.03822,17.842674,39.485744,-3.2216651,8.90688,-8.493423,-3.4436998,-19.106865,-11.96351,-9.493114,-11.147042,2.65383,-11.195973,3.6268687,0.6028124,0.48093325,0.37984025,0.2879106,0.28595194,0.45146206,0.4354574,0.2995586,0.2864828,0.29265952,0.31333706,0.44637388,21.534812563516272,14.944742661856827,18.330442606297673,16.99254687705671,22.114311818036697,23.613242026877387,58.68293281860342,0.08391384548611111,2408.1298828125
364.wav,-226.42676,136.59099,-53.128174,50.431,-25.192602,9.628379,1.6553228,2.6822538,-4.5858893,0.13613711,-6.7032228,-4.842936,-1.2181172,-0.04126338,6.94787,0.38842592,0.30105543,0.26338735,0.26675743,0.29234257,0.2805778,0.26070827,0.31006387,0.43226016,0.52566147,0.4410352,0.41263127,16.413062871283156,18.039058041285916,20.52511824851863,18.518122799820738,19.366347910749823,25.273953977038293,64.35624333520474,0.08258248040069686,3346.2747713414633
473.wav,-464.53616,109.69469,7.9819193,17.749933,-0.9740448,2.5607204,-19.633963,-13.113985,-14.575616,-9.914138,-4.0651255,-9.938037,-4.6219487,-6.825028,-3.5484424,0.35877666,0.40711892,0.39378732,0.29603913,0.27360225,0.30281556,0.37696734,0.48473307,0.4380416,0.32581994,0.3373926,0.36441383,23.599566385916013,16.768031406235558,19.293160468251177,16.433340672475865,17.35873073157798,16.63157102370968,59.30022952665979,0.062205952175414365,2307.8002255265883
